                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00114,                 28.906,                0.00065,                      0,                      0,                      0,                      0,                  4e-05,                 38.086,                  2e-05,                0.00028,                0.00028,                0.00028
                      2,                0.00319,                 23.523,                0.00168,                      0,                      0,                      0,                      0,                  5e-05,                 37.261,                  3e-05,             0.00056852,             0.00056852,             0.00056852
                      3,                0.01227,                  18.87,                 0.0059,                      0,                      0,                      0,                      0,                0.00014,                 27.633,                  7e-05,             0.00084515,             0.00084515,             0.00084515
                      4,                 0.0257,                 16.612,                0.01064,                      0,                      0,                      0,                      0,                0.00197,                 13.743,                 0.0008,              0.0011099,              0.0011099,              0.0011099
                      5,                0.11443,                  15.68,                0.04644,                      0,                      0,                      0,                      0,                  4e-05,                 10.266,                  2e-05,              0.0013628,              0.0013628,              0.0013628
                      6,                 0.7355,                 14.353,                 0.2459,                      0,                      0,                      0,                      0,                  1e-05,                 1.4282,                      0,              0.0016038,              0.0016038,              0.0016038
                      7,                 4.4459,                 12.134,                 1.5844,                      0,                      0,                      0,                      0,                  1e-05,                0.95132,                      0,              0.0017624,              0.0017624,              0.0017624
                      8,                 4.9602,                 7.3304,                 1.5661,                      0,                      0,                      0,                      0,                0.00026,                 7.6442,                  9e-05,              0.0017228,              0.0017228,              0.0017228
                      9,                 4.3522,                 5.6126,                 1.3997,                      0,                      0,                      0,                      0,                0.01218,                 8.6922,                0.00395,              0.0016832,              0.0016832,              0.0016832
                     10,                   4.52,                 4.1147,                 1.4401,                0.00291,                    0.1,                0.00234,                0.00053,                 3.8963,                 4.4261,                 1.2942,              0.0016436,              0.0016436,              0.0016436
                     11,                 4.4116,                  3.408,                 1.2954,                0.00716,                0.03636,                0.00127,                0.00032,                 4.4075,                 6.7308,                 1.2768,               0.001604,               0.001604,               0.001604
