                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5561,                 4.2204,                 1.5742,                 0.0017,                0.10652,                 0.0012,                0.00051,                 2.2285,                 4.0101,                 1.3792,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                  2.435,                  4.229,                 1.5012,                0.00171,                0.10435,                0.00119,                0.00051,                 2.2288,                 4.0105,                 1.3809,              4.902e-05,              4.902e-05,              4.902e-05
                      3,                 2.4789,                 4.2798,                 1.5262,                0.00162,                0.09565,                0.00113,                 0.0005,                 2.2198,                 4.0086,                  1.383,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      4,                 2.4169,                 4.2278,                 1.5236,                0.00292,                0.16304,                0.00277,                0.00118,                 2.2155,                 3.9362,                 1.2988,             0.00010976,             0.00010976,             0.00010976
                      5,                 2.3923,                 3.8858,                  1.365,                0.00442,                0.23261,                 0.0159,                 0.0057,                  2.301,                 3.8782,                 1.2395,             0.00013815,             0.00013815,             0.00013815
                      6,                 2.3291,                 3.4742,                 1.2355,                0.00523,                   0.25,                0.05844,                0.02307,                 2.2133,                 3.7428,                 1.1722,             0.00016522,             0.00016522,             0.00016522
                      7,                 2.3217,                 2.9091,                 1.2163,                0.00598,                0.27609,                0.06957,                0.02374,                  2.099,                 3.6453,                 1.1623,             0.00019096,             0.00019096,             0.00019096
                      8,                 2.1947,                 2.5171,                 1.1366,                0.00596,                0.28261,                0.10067,                0.03068,                 2.0534,                  3.561,                 1.1487,             0.00021539,             0.00021539,             0.00021539
                      9,                 2.1481,                 2.2349,                 1.1456,                0.00551,                 0.2413,                0.09504,                0.03307,                 1.9017,                 3.5545,                 1.1471,              0.0002385,              0.0002385,              0.0002385
                     10,                  2.084,                 2.0399,                 1.1803,                0.00601,                0.24783,                0.09904,                0.03403,                 1.8589,                 3.5282,                 1.1472,             0.00026029,             0.00026029,             0.00026029
                     11,                 2.0596,                 1.9094,                 1.1616,                0.00668,                0.26957,                0.10732,                0.03705,                 1.8721,                 3.4853,                 1.1323,             0.00028076,             0.00028076,             0.00028076
                     12,                  1.971,                 1.9498,                 1.1611,                0.00665,                 0.2587,                0.09645,                0.03846,                  1.865,                 3.4767,                 1.1495,              0.0002999,              0.0002999,              0.0002999
                     13,                 1.9567,                 1.8441,                 1.1345,                0.00734,                0.26739,                0.09316,                0.03233,                 1.8843,                 3.4661,                 1.1636,             0.00031773,             0.00031773,             0.00031773
                     14,                 1.9417,                 1.7426,                 1.1413,                0.00829,                0.27174,                0.06584,                0.02282,                 1.8689,                 3.4537,                 1.1444,             0.00033424,             0.00033424,             0.00033424
                     15,                  1.949,                 1.7008,                 1.1228,                0.00887,                0.29355,                0.04619,                0.01708,                 1.8143,                 3.4228,                 1.1323,             0.00034942,             0.00034942,             0.00034942
                     16,                  1.885,                 1.6494,                 1.1191,                0.00913,                0.29355,                0.04343,                0.01501,                 1.7616,                 3.4277,                 1.1149,             0.00036329,             0.00036329,             0.00036329
                     17,                 1.8835,                 1.6467,                 1.1233,                 0.0097,                0.29355,                0.04356,                0.01488,                 1.8069,                 3.4094,                 1.1184,             0.00037584,             0.00037584,             0.00037584
                     18,                 1.8372,                 1.6078,                 1.1142,                0.00997,                0.30217,                0.03903,                0.01331,                 1.8071,                 3.3689,                 1.1217,             0.00038706,             0.00038706,             0.00038706
                     19,                 1.8512,                 1.5194,                 1.1046,                0.00914,                0.29798,                0.03277,                0.01362,                 1.7877,                 3.3968,                 1.1292,             0.00039697,             0.00039697,             0.00039697
