                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7003,                 3.4462,                 1.1893,                 0.0019,                0.60957,                0.00283,                 0.0016,                  1.051,                 2.8799,                0.91305,                      0,                      0,                      0
                      2,                 1.6486,                 3.4341,                 1.1689,                0.00187,                 0.6034,                0.00266,                0.00142,                 1.0534,                 2.8766,                0.91286,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 1.6664,                 3.4345,                 1.1824,                 0.0018,                0.59105,                0.00248,                0.00138,                 1.0572,                 2.8767,                0.91348,             3.2681e-05,             3.2681e-05,             3.2681e-05
                      4,                 1.6584,                 3.4411,                 1.1861,                0.00161,                0.56019,                0.00251,                0.00141,                 1.0596,                 2.8752,                0.91448,             4.8528e-05,             4.8528e-05,             4.8528e-05
                      5,                 1.5285,                 3.3176,                 1.1495,                0.00165,                0.56636,                0.00252,                0.00145,                 1.0623,                 2.8748,                0.91446,             6.4044e-05,             6.4044e-05,             6.4044e-05
                      6,                 1.6517,                 3.4666,                  1.204,                0.00162,                0.61034,                0.00354,                0.00163,                 1.0657,                 2.8765,                0.91531,             7.9232e-05,             7.9232e-05,             7.9232e-05
                      7,                 1.5956,                  3.308,                 1.1971,                0.00142,                0.52932,                0.00303,                0.00135,                 1.0696,                 2.8777,                 0.9161,              9.409e-05,              9.409e-05,              9.409e-05
                      8,                 1.6231,                 3.4698,                 1.1713,                0.00139,                0.52315,                0.00302,                0.00127,                 1.0721,                 2.8783,                 0.9172,             0.00010862,             0.00010862,             0.00010862
                      9,                 1.5752,                 3.3827,                 1.1865,                0.00272,                0.83333,                0.06883,                0.02137,                 1.1376,                 2.8807,                0.90277,             0.00012282,             0.00012282,             0.00012282
                     10,                 1.3821,                 3.1233,                 1.0356,                0.00351,                0.95679,                0.13609,                0.08454,                 1.1916,                  2.872,                 0.9048,             0.00013669,             0.00013669,             0.00013669
                     11,                 1.3416,                 2.9082,                0.99853,                 0.0037,                0.97531,                0.25869,                 0.0937,                 1.1279,                 2.8327,                0.89495,             0.00015023,             0.00015023,             0.00015023
                     12,                 1.3699,                 2.6736,                0.97481,                0.00384,                0.97531,                0.21119,                0.12171,                 1.1242,                 2.8036,                 0.8918,             0.00016344,             0.00016344,             0.00016344
                     13,                 1.3387,                 2.4154,                0.95178,                0.00398,                0.98765,                0.25717,                0.17069,                 1.1522,                 2.7693,                0.89973,             0.00017632,             0.00017632,             0.00017632
                     14,                  1.365,                 2.0414,                0.94496,                 0.0041,                0.99383,                0.21854,                0.09924,                 1.1347,                 2.7228,                0.90194,             0.00018887,             0.00018887,             0.00018887
                     15,                 1.2842,                  1.921,                0.92769,                0.00418,                0.99383,                0.25768,                0.07133,                 1.0753,                 2.6738,                0.89631,             0.00020109,             0.00020109,             0.00020109
                     16,                 1.1884,                  1.534,                0.90424,                0.00433,                      1,                0.20123,                  0.059,                 1.0391,                 2.6278,                0.89056,             0.00021299,             0.00021299,             0.00021299
                     17,                 1.2215,                 1.4979,                0.94958,                0.00434,                      1,                0.19693,                0.05641,                  1.036,                 2.6202,                0.88912,             0.00022455,             0.00022455,             0.00022455
                     18,                 1.1858,                 1.4038,                0.92908,                0.00431,                0.98765,                 0.2365,                0.08269,                 1.0208,                 2.5688,                0.89041,             0.00023579,             0.00023579,             0.00023579
                     19,                 1.1778,                 1.3943,                0.91673,                0.00431,                0.98148,                0.30965,                0.14167,                 1.0618,                 2.5525,                0.89075,             0.00024669,             0.00024669,             0.00024669
                     20,                 1.1905,                 1.3743,                0.93292,                0.00431,                0.98148,                0.31214,                0.19853,                 1.1109,                 2.5471,                0.89839,             0.00025727,             0.00025727,             0.00025727
                     21,                 1.1566,                 1.3469,                0.92107,                0.00435,                0.98765,                0.32951,                0.21683,                 1.0849,                 2.5349,                0.89697,             0.00026751,             0.00026751,             0.00026751
                     22,                 1.1177,                 1.3715,                0.93678,                0.00439,                0.99383,                 0.3669,                0.21472,                 1.0423,                 2.5209,                0.89084,             0.00027743,             0.00027743,             0.00027743
                     23,                 1.0922,                  1.323,                0.92044,                0.00435,                0.99383,                0.39519,                0.22847,                 1.0196,                 2.4855,                0.88675,             0.00028701,             0.00028701,             0.00028701
                     24,                 1.1054,                 1.2307,                 0.9396,                0.00431,                0.99383,                0.38481,                0.24499,                 1.0373,                 2.4514,                0.88753,             0.00029627,             0.00029627,             0.00029627
                     25,                 1.0512,                 1.1295,                0.91673,                0.00425,                0.99383,                0.33698,                0.19459,                 1.0787,                 2.4379,                0.89338,              0.0003052,              0.0003052,              0.0003052
                     26,                  1.076,                 1.1505,                0.93318,                0.00426,                0.99383,                0.07034,                0.03722,                 1.1308,                 2.4447,                0.90098,              0.0003138,              0.0003138,              0.0003138
                     27,                 1.0127,                 1.0797,                0.91205,                0.00431,                0.99383,                0.05151,                0.02419,                 1.1209,                 2.4486,                0.89792,             0.00032207,             0.00032207,             0.00032207
                     28,                 1.0415,                 1.1438,                0.89351,                0.00433,                0.99383,                 0.0492,                0.02217,                 1.0529,                 2.4419,                0.89321,             0.00033001,             0.00033001,             0.00033001
                     29,                 1.0409,                0.97539,                0.90118,                0.00437,                0.99383,                0.05203,                0.02077,                 1.0201,                 2.4304,                0.88956,             0.00033762,             0.00033762,             0.00033762
                     30,                 1.0443,                 1.0144,                 0.8893,                0.00436,                0.99383,                0.05567,                0.01987,                 1.0356,                 2.4346,                0.89038,              0.0003449,              0.0003449,              0.0003449
                     31,                 1.0118,                 1.0034,                0.88755,                0.00441,                0.99383,                0.07622,                0.02659,                 1.0629,                  2.438,                0.89966,             0.00035185,             0.00035185,             0.00035185
                     32,                 1.0232,                0.97199,                0.88867,                0.00448,                0.99383,                0.10749,                0.03434,                 1.0278,                 2.4225,                0.89571,             0.00035847,             0.00035847,             0.00035847
                     33,                 1.0195,                0.96081,                0.90006,                0.00452,                0.99383,                0.10725,                0.03611,                0.95227,                 2.3957,                0.88605,             0.00036477,             0.00036477,             0.00036477
                     34,                0.95945,                0.93195,                0.89305,                0.00458,                0.99383,                0.06656,                0.01854,                0.94286,                 2.4114,                0.89027,             0.00037073,             0.00037073,             0.00037073
                     35,                0.97822,                0.93814,                0.89662,                0.00461,                0.99383,                0.01969,                0.00993,                0.98848,                 2.4491,                0.89898,             0.00037636,             0.00037636,             0.00037636
                     36,                0.99169,                0.91446,                0.89298,                0.00465,                0.99383,                0.01881,                0.00934,                 1.0289,                 2.4711,                0.90327,             0.00038167,             0.00038167,             0.00038167
                     37,                0.95645,                0.83397,                0.88213,                0.00462,                0.98765,                0.01858,                0.00949,                0.99475,                 2.4598,                0.89798,             0.00038664,             0.00038664,             0.00038664
                     38,                0.99872,                0.92331,                0.88984,                0.00459,                0.98765,                0.01884,                0.01037,                0.93255,                 2.4186,                0.88879,             0.00039129,             0.00039129,             0.00039129
                     39,                0.96298,                0.89569,                0.89188,                0.00465,                0.99383,                0.01913,                0.01074,                0.91065,                 2.4047,                0.88264,              0.0003956,              0.0003956,              0.0003956
                     40,                0.94158,                0.88525,                0.87248,                0.00465,                0.99383,                0.02012,                0.01075,                0.93974,                 2.4098,                 0.8831,             0.00039959,             0.00039959,             0.00039959
                     41,                0.97417,                0.87439,                0.88756,                0.00464,                0.99383,                0.02123,                0.01085,                 0.9859,                 2.4102,                0.88904,             0.00040325,             0.00040325,             0.00040325
                     42,                0.93748,                 0.8836,                0.88564,                0.00469,                      1,                0.09021,                0.04677,                0.96882,                  2.375,                 0.8859,             0.00040657,             0.00040657,             0.00040657
                     43,                0.93853,                0.92853,                 0.8947,                0.00463,                0.99383,                0.10072,                0.04702,                0.92683,                 2.3418,                0.88054,             0.00040957,             0.00040957,             0.00040957
                     44,                0.93322,                0.87079,                0.87904,                0.00462,                0.99383,                0.17611,                0.08749,                0.90566,                 2.2925,                0.87482,             0.00041224,             0.00041224,             0.00041224
