                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4528,                 4.5358,                 1.4999,                0.00215,                0.09198,                0.00123,                0.00063,                 1.8083,                 4.0213,                 1.0034,                      0,                      0,                      0
                      2,                 2.2725,                 4.4814,                 1.4813,                0.00231,                0.09586,                0.00133,                0.00072,                 1.8121,                 4.0215,                 1.0047,             1.4196e-05,             1.4196e-05,             1.4196e-05
                      3,                 2.6353,                 4.6118,                  1.627,                0.00237,                0.09779,                0.00137,                0.00075,                 1.8158,                 4.0205,                 1.0057,             2.8203e-05,             2.8203e-05,             2.8203e-05
                      4,                 2.5276,                 4.5641,                 1.5932,                 0.0023,                0.07215,                0.00134,                 0.0007,                 1.8142,                 4.0187,                 1.0055,             4.2021e-05,             4.2021e-05,             4.2021e-05
                      5,                 2.5942,                 4.6267,                 1.5779,                0.00228,                0.07215,                0.00132,                0.00069,                 1.8146,                 4.0185,                 1.0069,             5.5651e-05,             5.5651e-05,             5.5651e-05
                      6,                 2.6009,                  4.545,                  1.568,                0.00243,                0.07603,                0.00145,                0.00075,                 1.8173,                 4.0143,                 1.0071,             6.9092e-05,             6.9092e-05,             6.9092e-05
                      7,                 2.4816,                 4.5345,                 1.5268,                0.00279,                0.10942,                0.00167,                0.00079,                 1.8163,                 4.0151,                 1.0077,             8.2345e-05,             8.2345e-05,             8.2345e-05
                      8,                 2.4275,                 4.5862,                 1.4831,                0.00277,                0.13506,                0.00168,                0.00079,                  1.814,                 4.0144,                 1.0082,             9.5409e-05,             9.5409e-05,             9.5409e-05
                      9,                 2.3755,                 4.4894,                 1.5064,                0.00426,                0.15206,                0.00312,                0.00153,                 1.9151,                 3.9893,                 1.0043,             0.00010828,             0.00010828,             0.00010828
                     10,                 2.1309,                 4.2728,                 1.2004,                 0.0043,                0.17725,                0.00406,                0.00148,                 2.1872,                 4.0057,                 1.0381,             0.00012097,             0.00012097,             0.00012097
                     11,                 2.1266,                  4.034,                 1.0995,                0.00537,                0.20781,                0.00615,                0.00218,                 2.0299,                 3.9665,                 1.0089,             0.00013347,             0.00013347,             0.00013347
                     12,                 2.0092,                 3.7494,                 1.0581,                0.00637,                 0.3635,                0.01211,                0.00397,                 1.7478,                 3.9171,                0.96417,             0.00014578,             0.00014578,             0.00014578
                     13,                  1.932,                  3.431,                 1.0368,                0.00654,                0.34003,                0.01426,                0.00597,                 1.6181,                 3.8723,                0.93988,              0.0001579,              0.0001579,              0.0001579
                     14,                 1.9721,                 2.9421,                 1.0192,                0.00712,                0.34972,                0.02928,                0.00991,                 1.6123,                 3.8105,                0.93273,             0.00016983,             0.00016983,             0.00016983
                     15,                  1.973,                  2.496,                 1.0111,                0.00816,                 0.3863,                 0.0445,                0.01127,                 1.6922,                 3.7186,                0.94778,             0.00018157,             0.00018157,             0.00018157
                     16,                 1.9316,                  2.028,                  1.022,                0.00831,                0.38824,                 0.0498,                0.01224,                 1.6895,                 3.7117,                0.94754,             0.00019313,             0.00019313,             0.00019313
                     17,                 1.9171,                 2.0138,                 1.0072,                0.00838,                0.31029,                0.05148,                0.01102,                 1.7513,                 3.5851,                0.97807,              0.0002045,              0.0002045,              0.0002045
                     18,                  1.799,                 1.8557,                0.99979,                0.00834,                0.33958,                0.04178,                0.01215,                 1.7567,                 3.4895,                0.98407,             0.00021567,             0.00021567,             0.00021567
                     19,                 1.8196,                 1.8953,                      1,                0.00861,                0.27713,                0.05474,                0.02485,                 1.7742,                 3.4508,                0.98815,             0.00022666,             0.00022666,             0.00022666
                     20,                 1.7463,                 1.7449,                0.99011,                0.00864,                0.27713,                0.06003,                0.03215,                 1.7784,                 3.4483,                0.99277,             0.00023746,             0.00023746,             0.00023746
                     21,                 1.6659,                 1.5696,                 0.9696,                0.00885,                0.28101,                0.06036,                0.03448,                 1.7405,                 3.4411,                0.98327,             0.00024807,             0.00024807,             0.00024807
                     22,                 1.6812,                 1.5289,                0.97346,                 0.0097,                0.31634,                0.05544,                0.03228,                 1.7193,                 3.4325,                0.97882,              0.0002585,              0.0002585,              0.0002585
                     23,                  1.601,                 1.4773,                0.96135,                0.01111,                0.38871,                0.05396,                 0.0297,                 1.7101,                 3.3956,                 0.9777,             0.00026873,             0.00026873,             0.00026873
                     24,                 1.5414,                 1.4042,                0.95411,                0.01219,                0.46859,                0.05868,                0.03512,                 1.6067,                 3.3248,                 0.9524,             0.00027878,             0.00027878,             0.00027878
                     25,                 1.5047,                 1.3816,                0.96638,                0.01286,                0.50563,                0.05944,                0.03939,                 1.4933,                 3.2681,                0.93231,             0.00028864,             0.00028864,             0.00028864
                     26,                 1.5266,                 1.3827,                 0.9571,                 0.0137,                0.50757,                0.05383,                0.03418,                 1.5629,                 3.2509,                0.94012,              0.0002983,              0.0002983,              0.0002983
                     27,                  1.473,                 1.3916,                0.94287,                0.01462,                 0.4335,                0.04055,                  0.022,                 1.6154,                 3.2908,                0.95178,             0.00030778,             0.00030778,             0.00030778
                     28,                 1.4575,                 1.3465,                0.92868,                0.01549,                0.49424,                0.04467,                0.01883,                 1.5353,                 3.3311,                0.94169,             0.00031708,             0.00031708,             0.00031708
                     29,                 1.4409,                 1.2781,                0.93784,                0.01658,                0.50369,                0.03884,                0.01807,                 1.4874,                 3.3492,                0.93155,             0.00032618,             0.00032618,             0.00032618
                     30,                 1.4734,                 1.3128,                0.93749,                0.01737,                0.50369,                0.04112,                0.02079,                 1.5476,                 3.3549,                0.94766,             0.00033509,             0.00033509,             0.00033509
                     31,                 1.4429,                 1.2434,                0.93977,                0.01721,                0.50369,                0.06011,                0.03352,                 1.4571,                 3.3074,                0.92987,             0.00034382,             0.00034382,             0.00034382
                     32,                 1.4171,                 1.2492,                0.91958,                0.01702,                0.51532,                0.09706,                0.05738,                 1.4196,                 3.2493,                0.92469,             0.00035235,             0.00035235,             0.00035235
                     33,                 1.4025,                 1.2132,                0.91806,                0.01605,                0.52284,                0.13551,                0.07445,                 1.4836,                 3.2304,                0.93095,              0.0003607,              0.0003607,              0.0003607
                     34,                 1.4353,                 1.2309,                0.91981,                0.01569,                0.56375,                0.15389,                0.07661,                 1.4915,                   3.22,                0.92339,             0.00036886,             0.00036886,             0.00036886
                     35,                 1.3944,                 1.2055,                0.92135,                0.01566,                0.66928,                0.16687,                0.07648,                 1.4187,                 3.1885,                0.91192,             0.00037683,             0.00037683,             0.00037683
                     36,                 1.4318,                 1.2053,                0.92177,                0.01479,                0.69299,                 0.1743,                0.07409,                 1.4333,                 3.1562,                0.91416,             0.00038462,             0.00038462,             0.00038462
                     37,                 1.3498,                 1.1572,                 0.9141,                0.01431,                0.69492,                0.15773,                0.06845,                 1.4305,                 3.1258,                0.91867,             0.00039221,             0.00039221,             0.00039221
                     38,                 1.3633,                  1.136,                0.92732,                0.01367,                0.73002,                0.15923,                0.07719,                 1.3877,                 3.0465,                0.91401,             0.00039961,             0.00039961,             0.00039961
                     39,                 1.4326,                 1.1759,                 0.9205,                0.01273,                0.70244,                0.14764,                0.08067,                 1.3653,                 3.0203,                0.91315,             0.00040683,             0.00040683,             0.00040683
                     40,                 1.3366,                 1.1278,                0.91972,                0.01217,                0.70244,                0.12688,                0.07221,                 1.3553,                 3.0442,                0.90666,             0.00041386,             0.00041386,             0.00041386
                     41,                 1.3475,                 1.1337,                0.90482,                0.01171,                0.66735,                0.10794,                0.05882,                 1.3439,                 3.0827,                 0.9006,              0.0004207,              0.0004207,              0.0004207
                     42,                 1.3397,                 1.1024,                0.90217,                0.01126,                0.69299,                 0.1575,                0.06886,                  1.314,                 3.0819,                0.89516,             0.00042735,             0.00042735,             0.00042735
                     43,                 1.2969,                 1.0746,                 0.9021,                 0.0107,                0.71863,                0.19334,                0.08384,                 1.3122,                 3.0452,                0.89265,             0.00043381,             0.00043381,             0.00043381
                     44,                 1.3334,                 1.0747,                0.92143,                 0.0105,                0.74233,                0.19052,                0.09372,                 1.3418,                 2.9932,                0.89425,             0.00044008,             0.00044008,             0.00044008
                     45,                 1.2913,                 1.0622,                0.89787,                0.01056,                0.76216,                0.20914,                0.09603,                 1.3488,                 3.0142,                0.89615,             0.00044617,             0.00044617,             0.00044617
                     46,                 1.2935,                 1.0547,                0.90998,                0.01062,                0.75828,                0.18401,                0.08311,                 1.3236,                 3.0713,                0.88905,             0.00045206,             0.00045206,             0.00045206
                     47,                 1.2731,                 1.0109,                0.89966,                0.01034,                0.70119,                0.17257,                0.08087,                 1.3625,                  3.104,                0.88914,             0.00045777,             0.00045777,             0.00045777
                     48,                 1.3373,                 1.0559,                0.89962,                0.01015,                0.69925,                0.19156,                0.09764,                 1.3531,                 3.0721,                0.88963,             0.00046329,             0.00046329,             0.00046329
                     49,                 1.2779,                  1.005,                0.90092,                0.01036,                0.70894,                0.21424,                0.11141,                 1.3513,                 2.9757,                0.89121,             0.00046862,             0.00046862,             0.00046862
                     50,                 1.2821,                 1.0155,                0.90242,                0.01029,                0.70894,                0.23209,                0.12291,                  1.361,                 2.9383,                0.89165,             0.00047376,             0.00047376,             0.00047376
                     51,                  1.241,                0.96956,                0.89109,                0.01006,                  0.707,                0.23679,                0.12273,                 1.3698,                 2.9329,                0.89507,             0.00047872,             0.00047872,             0.00047872
