                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0035,                 300.12,                 2.4224,                      0,                      0,                      0,                      0,                0.85032,                  436.5,                0.48707,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.4245,                 188.94,                 3.3179,                      0,                      0,                      0,                      0,                0.85032,                  436.5,                0.48732,             0.00013908,             0.00013908,             0.00013908
                      3,                 5.3613,                 175.76,                 3.2367,                      0,                      0,                      0,                      0,                0.85146,                  436.5,                0.48799,              0.0002171,              0.0002171,              0.0002171
                      4,                 5.2661,                 186.45,                 3.1643,                      0,                      0,                      0,                      0,                0.84525,                  436.5,                0.48442,             0.00029406,             0.00029406,             0.00029406
                      5,                 5.2725,                    172,                 3.0974,                      0,                      0,                      0,                      0,                0.83994,                  436.5,                0.48183,             0.00036997,             0.00036997,             0.00036997
                      6,                 5.4857,                 142.94,                 3.0896,                      0,                      0,                      0,                      0,                0.79951,                    429,                0.46013,             0.00044482,             0.00044482,             0.00044482
                      7,                 5.2954,                  120.8,                 2.7287,                      0,                      0,                      0,                      0,                 0.7254,                  419.5,                0.42155,             0.00051862,             0.00051862,             0.00051862
                      8,                 6.8285,                  50.02,                 3.3905,                      0,                      0,                      0,                      0,                0.57123,                 392.25,                0.33953,             0.00059136,             0.00059136,             0.00059136
                      9,                 6.1991,                 36.301,                 2.9608,                      0,                      0,                      0,                      0,                0.51365,                  329.5,                0.30576,             0.00066304,             0.00066304,             0.00066304
                     10,                 4.7864,                 11.362,                 2.8977,                      0,                      0,                      0,                      0,                0.46022,                 159.62,                0.27329,             0.00073367,             0.00073367,             0.00073367
                     11,                 4.4486,                 7.4376,                 2.5585,                      0,                      0,                      0,                      0,                0.26073,                 114.25,                0.16402,             0.00080324,             0.00080324,             0.00080324
                     12,                 4.5193,                 8.6101,                 2.1446,                      0,                      0,                      0,                      0,                0.14287,                 108.94,                0.09817,             0.00087176,             0.00087176,             0.00087176
                     13,                 4.2299,                 5.7641,                 1.8902,                      0,                      0,                      0,                      0,                0.08689,                 114.12,                0.06377,             0.00093922,             0.00093922,             0.00093922
                     14,                 4.4947,                  5.681,                 1.7849,                      0,                      0,                      0,                      0,                0.09691,                  122.5,                0.06907,              0.0010056,              0.0010056,              0.0010056
                     15,                 4.1538,                 4.5319,                 1.6238,                      0,                      0,                      0,                      0,                0.09984,                    117,                0.07053,               0.001071,               0.001071,               0.001071
                     16,                  3.968,                 4.5871,                 1.4989,                      0,                      0,                      0,                      0,                0.10415,                 122.94,                0.07429,              0.0011353,              0.0011353,              0.0011353
                     17,                 4.0539,                 3.8914,                 1.5658,                      0,                      0,                      0,                      0,                0.04414,                 121.56,                0.03753,              0.0011985,              0.0011985,              0.0011985
                     18,                 3.7638,                 3.4337,                 1.4896,                      0,                      0,                      0,                      0,                0.01967,                 117.06,                0.02022,              0.0012607,              0.0012607,              0.0012607
                     19,                 3.5962,                 3.1632,                 1.4327,                      0,                      0,                      0,                      0,                0.01676,                 115.56,                0.01908,              0.0013218,              0.0013218,              0.0013218
                     20,                 3.4658,                 3.0577,                 1.3898,                      0,                      0,                      0,                      0,                0.02492,                 116.06,                0.02446,              0.0013819,              0.0013819,              0.0013819
