                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.333,                 4.1929,                 1.9854,                0.00215,                0.09198,                0.00122,                0.00062,                 2.7169,                 3.7677,                 1.3625,                      0,                      0,                      0
                      2,                 3.3895,                  4.214,                 1.9575,                0.00231,                0.09586,                0.00133,                0.00073,                 2.7195,                 3.7685,                  1.364,             1.4195e-05,             1.4195e-05,             1.4195e-05
                      3,                 3.8482,                  4.281,                 2.2077,                0.00227,                0.09586,                0.00132,                0.00069,                 2.7196,                 3.7658,                 1.3628,             2.8202e-05,             2.8202e-05,             2.8202e-05
                      4,                 3.4697,                 4.2395,                 2.0455,                 0.0024,                0.07409,                 0.0014,                0.00075,                 2.7231,                 3.7641,                 1.3645,             4.2019e-05,             4.2019e-05,             4.2019e-05
                      5,                 3.5769,                 4.2513,                 2.0543,                0.00239,                0.09973,                 0.0014,                 0.0007,                 2.7199,                 3.7635,                 1.3664,             5.5647e-05,             5.5647e-05,             5.5647e-05
                      6,                 3.5045,                 4.2707,                 2.0469,                0.00252,                0.07797,                0.00151,                0.00076,                 2.7274,                 3.7625,                  1.368,             6.9086e-05,             6.9086e-05,             6.9086e-05
                      7,                 3.7356,                 4.2748,                 2.1094,                0.00269,                0.10748,                0.00161,                0.00078,                 2.7272,                 3.7613,                 1.3675,             8.2336e-05,             8.2336e-05,             8.2336e-05
                      8,                 3.4347,                 4.2881,                 1.9642,                0.00267,                0.13312,                0.00162,                0.00077,                 2.7174,                 3.7607,                 1.3667,             9.5396e-05,             9.5396e-05,             9.5396e-05
                      9,                 3.6784,                  4.279,                 2.1224,                0.00438,                0.15787,                0.00377,                 0.0017,                 2.9812,                 3.7245,                 1.3821,             0.00010827,             0.00010827,             0.00010827
                     10,                 3.1141,                 3.9888,                 1.5987,                0.00443,                0.15981,                0.00362,                0.00164,                  2.978,                 3.7236,                 1.3818,             0.00012095,             0.00012095,             0.00012095
                     11,                 3.0774,                 3.9767,                 1.6043,                0.00464,                0.19082,                0.00525,                0.00168,                 3.3561,                 3.7634,                 1.4209,             0.00013344,             0.00013344,             0.00013344
                     12,                 2.8931,                  3.714,                 1.4588,                0.00577,                0.29545,                 0.0066,                0.00231,                 3.0624,                 3.7197,                 1.3794,             0.00014575,             0.00014575,             0.00014575
                     13,                 2.8536,                 3.4426,                 1.4159,                0.00614,                0.39472,                0.01106,                0.00358,                 2.8161,                 3.6917,                 1.3573,             0.00015786,             0.00015786,             0.00015786
                     14,                 2.8264,                 3.0873,                 1.4141,                0.00647,                0.37512,                0.02199,                0.00564,                 2.7964,                 3.6446,                 1.3486,             0.00016979,             0.00016979,             0.00016979
                     15,                 2.9148,                 2.6414,                 1.3989,                0.00662,                0.29911,                0.01794,                0.00512,                 2.8215,                  3.594,                 1.3621,             0.00018152,             0.00018152,             0.00018152
                     16,                 2.8413,                 2.1346,                 1.3733,                0.00679,                0.33034,                0.01352,                0.00419,                  2.818,                 3.5173,                 1.3772,             0.00019307,             0.00019307,             0.00019307
                     17,                 2.6748,                 1.8433,                  1.337,                0.00761,                0.38481,                0.02155,                0.00513,                 2.7014,                 3.4266,                 1.3659,             0.00020443,             0.00020443,             0.00020443
                     18,                 2.5818,                 1.7119,                 1.3364,                0.00754,                0.34584,                0.04187,                0.01004,                 2.5415,                 3.3478,                 1.3447,              0.0002156,              0.0002156,              0.0002156
                     19,                 2.5044,                 1.5771,                 1.3199,                0.00791,                0.37274,                 0.0596,                0.02131,                 2.5488,                 3.2929,                 1.3425,             0.00022658,             0.00022658,             0.00022658
                     20,                 2.4533,                 1.5346,                 1.3211,                0.00773,                0.37274,                0.06847,                0.02959,                  2.629,                  3.263,                 1.3472,             0.00023737,             0.00023737,             0.00023737
                     21,                 2.3928,                  1.413,                 1.3012,                0.00804,                0.37297,                0.07469,                0.03516,                 2.6221,                 3.2497,                 1.3419,             0.00024797,             0.00024797,             0.00024797
                     22,                 2.3623,                 1.4131,                 1.2994,                0.00861,                0.31052,                0.07025,                0.03833,                 2.4339,                 3.2364,                 1.3179,             0.00025839,             0.00025839,             0.00025839
                     23,                 2.2705,                 1.3921,                 1.2806,                0.00997,                0.32603,                0.06566,                0.03297,                 2.4095,                 3.2176,                  1.319,             0.00026861,             0.00026861,             0.00026861
                     24,                 2.2481,                  1.314,                 1.2914,                0.01169,                0.39452,                0.06864,                0.03571,                 2.3073,                 3.1577,                 1.3035,             0.00027864,             0.00027864,             0.00027864
                     25,                 2.1624,                 1.2596,                 1.2761,                0.01352,                0.53321,                0.06977,                0.04159,                 2.2063,                 3.0903,                 1.2845,             0.00028849,             0.00028849,             0.00028849
                     26,                 2.1103,                 1.2403,                 1.2761,                0.01497,                0.50757,                0.07425,                0.04152,                 2.2848,                 3.0725,                 1.2806,             0.00029815,             0.00029815,             0.00029815
                     27,                 2.1206,                 1.2341,                 1.2547,                0.01643,                0.50757,                0.08106,                0.03991,                 2.2545,                 3.0653,                 1.2696,             0.00030761,             0.00030761,             0.00030761
                     28,                  2.077,                 1.2422,                 1.2432,                0.01781,                0.51145,                0.07687,                0.03601,                 2.1835,                  3.083,                 1.2606,             0.00031689,             0.00031689,             0.00031689
                     29,                 2.0393,                 1.1814,                 1.2614,                0.01833,                0.47441,                0.06955,                0.03012,                 2.1987,                 3.1085,                 1.2717,             0.00032598,             0.00032598,             0.00032598
                     30,                  2.021,                 1.2581,                 1.2588,                0.01866,                0.50757,                0.06143,                0.02704,                 2.1298,                  3.098,                 1.2655,             0.00033488,             0.00033488,             0.00033488
                     31,                 2.0128,                 1.2537,                 1.2469,                0.01872,                0.51145,                0.05489,                0.02744,                 2.1311,                  3.073,                 1.2667,             0.00034359,             0.00034359,             0.00034359
                     32,                 1.9913,                 1.1468,                 1.2535,                0.01859,                0.55236,                0.06209,                0.03626,                 2.1481,                 3.0284,                 1.2632,             0.00035211,             0.00035211,             0.00035211
                     33,                 2.0185,                 1.1547,                 1.2646,                0.01763,                0.55236,                0.07687,                0.04567,                 2.1008,                 2.9799,                 1.2554,             0.00036044,             0.00036044,             0.00036044
                     34,                 2.0983,                  1.196,                 1.2454,                0.01685,                0.62837,                0.08419,                0.04688,                 2.1364,                 2.9708,                   1.26,             0.00036859,             0.00036859,             0.00036859
                     35,                 1.9007,                 1.0659,                 1.2408,                 0.0157,                0.59327,                0.10651,                0.05256,                 2.0828,                 2.9651,                 1.2499,             0.00037654,             0.00037654,             0.00037654
                     36,                 1.9016,                 1.0898,                 1.2363,                0.01438,                0.60273,                0.15294,                0.06503,                 2.0391,                 2.9438,                 1.2411,              0.0003843,              0.0003843,              0.0003843
                     37,                 1.8438,                  1.035,                 1.2191,                0.01336,                0.64364,                0.22364,                0.07281,                 2.0556,                 2.9096,                 1.2381,             0.00039188,             0.00039188,             0.00039188
                     38,                 1.8567,                 1.0366,                   1.22,                0.01218,                0.64558,                0.21208,                0.07538,                 2.0522,                 2.8699,                 1.2353,             0.00039927,             0.00039927,             0.00039927
                     39,                 1.8394,                0.98773,                 1.2116,                0.01131,                0.64558,                0.18116,                0.07591,                 2.0531,                 2.8455,                 1.2375,             0.00040646,             0.00040646,             0.00040646
                     40,                 1.8818,                 1.0076,                 1.2309,                0.01095,                0.66928,                0.11113,                0.05692,                 2.1517,                 2.8589,                  1.248,             0.00041347,             0.00041347,             0.00041347
                     41,                 1.8795,                 1.0083,                  1.227,                0.01068,                0.67122,                0.09019,                0.05126,                 2.1287,                 2.8679,                 1.2485,             0.00042029,             0.00042029,             0.00042029
                     42,                  1.874,                 1.0139,                 1.2156,                0.01051,                0.70826,                0.07615,                0.04152,                 2.0878,                  2.896,                 1.2433,             0.00042692,             0.00042692,             0.00042692
                     43,                 1.8177,                0.94807,                 1.2142,                0.01006,                0.70632,                0.06666,                  0.037,                 2.0861,                 2.9092,                 1.2408,             0.00043336,             0.00043336,             0.00043336
                     44,                 1.7402,                0.93082,                 1.2079,                0.00968,                0.66928,                0.08579,                0.04588,                 2.0845,                 2.8675,                 1.2433,             0.00043961,             0.00043961,             0.00043961
                     45,                 1.8765,                0.95237,                 1.2225,                0.00946,                0.66928,                0.13762,                0.07469,                 1.9926,                 2.7985,                  1.232,             0.00044568,             0.00044568,             0.00044568
                     46,                 1.7785,                0.89638,                 1.2208,                0.00935,                0.69492,                0.17895,                0.09843,                 1.9834,                 2.7724,                 1.2283,             0.00045155,             0.00045155,             0.00045155
                     47,                 1.8526,                0.90312,                 1.2119,                0.00924,                0.69492,                0.21925,                0.10966,                 2.2209,                 2.7829,                 1.2545,             0.00045724,             0.00045724,             0.00045724
                     48,                 1.7922,                0.94622,                 1.2075,                0.00924,                0.69299,                 0.2335,                0.11564,                 2.2326,                 2.7871,                  1.255,             0.00046273,             0.00046273,             0.00046273
                     49,                  1.848,                0.94767,                  1.218,                0.00949,                0.69492,                0.25193,                0.13111,                 2.0691,                 2.7724,                  1.238,             0.00046804,             0.00046804,             0.00046804
                     50,                  1.811,                0.89892,                 1.2158,                 0.0098,                 0.7339,                0.25918,                 0.1307,                 2.0679,                 2.7546,                  1.237,             0.00047315,             0.00047315,             0.00047315
                     51,                 1.8291,                0.91307,                 1.2132,                0.00999,                0.69686,                0.28421,                0.12717,                 2.1647,                 2.7361,                 1.2442,             0.00047808,             0.00047808,             0.00047808
                     52,                 1.8136,                0.90668,                  1.206,                0.01031,                0.73196,                0.36834,                0.14065,                  2.094,                 2.6904,                 1.2337,             0.00048282,             0.00048282,             0.00048282
                     53,                 1.7982,                0.88007,                 1.2049,                0.01068,                 0.7576,                0.38169,                0.16369,                 1.9824,                 2.6093,                 1.2133,             0.00048737,             0.00048737,             0.00048737
                     54,                 1.6966,                0.85486,                 1.1949,                0.01089,                0.75954,                0.37229,                0.16993,                 1.9933,                 2.5955,                 1.2132,             0.00049173,             0.00049173,             0.00049173
