                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1163,                 6.2315,                 1.4556,                0.01157,                   0.65,                0.01245,                0.00358,                0.90421,                 6.8577,                 1.2751,                0.00028,                0.00028,                0.00028
                      2,                 0.9738,                 3.4844,                 1.2354,                0.01437,                0.67727,                0.02003,                 0.0063,                0.79591,                  6.279,                 1.2169,             0.00056851,             0.00056851,             0.00056851
                      3,                0.99811,                 3.0999,                 1.2403,                0.01199,                0.60455,                0.02798,                0.00857,                0.93475,                 6.7412,                 1.3102,             0.00084515,             0.00084515,             0.00084515
                      4,                0.92774,                 2.6178,                 1.2115,                0.02772,                    0.5,                0.19723,                0.05991,                0.92992,                 5.3827,                 1.2995,              0.0011099,              0.0011099,              0.0011099
                      5,                 0.9538,                 2.5556,                 1.2219,                0.58943,                0.15455,                0.27114,                0.07894,                0.92083,                 4.6437,                 1.2857,              0.0013628,              0.0013628,              0.0013628
                      6,                0.93708,                 2.4673,                 1.1924,                0.65064,                0.25909,                 0.3645,                0.10883,                0.91471,                 4.1543,                 1.2787,              0.0016038,              0.0016038,              0.0016038
                      7,                0.88731,                 2.5552,                 1.1761,                 0.4873,                0.39091,                0.35174,                0.09498,                0.78137,                 3.5463,                 1.2222,              0.0017624,              0.0017624,              0.0017624
                      8,                 0.8942,                 2.2588,                  1.191,                0.51285,                0.46818,                0.41237,                0.11931,                0.79415,                  2.988,                 1.2177,              0.0017228,              0.0017228,              0.0017228
                      9,                0.85246,                 2.1085,                 1.1823,                0.44466,                0.52727,                0.36584,                0.10277,                0.86165,                 2.7026,                 1.1975,              0.0016832,              0.0016832,              0.0016832
                     10,                 0.8536,                 1.9984,                 1.1799,                 0.6197,                 0.5259,                0.52438,                0.17916,                0.80099,                 2.3647,                  1.207,              0.0016436,              0.0016436,              0.0016436
                     11,                 0.8821,                  1.999,                  1.171,                0.55028,                0.48636,                0.44787,                0.13503,                0.84853,                 2.3428,                 1.2184,               0.001604,               0.001604,               0.001604
                     12,                0.82693,                 1.8152,                 1.1531,                0.61907,                0.45909,                0.46408,                0.15074,                 0.7535,                 2.0263,                 1.1839,              0.0015644,              0.0015644,              0.0015644
                     13,                0.80657,                 1.9889,                 1.1062,                0.52384,                0.53182,                0.46784,                0.15454,                0.77387,                 2.1403,                 1.1861,              0.0015248,              0.0015248,              0.0015248
