                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 8.9696,                 8.2018,                 5.7297,                      0,                      0,                      0,                      0,                 9.7327,                 7.6966,                 5.6472,                      0,                      0,                      0
                      2,                 8.8634,                 9.1798,                 5.7225,                      0,                      0,                      0,                      0,                 9.7327,                 7.6968,                 5.6483,             1.4006e-05,             1.4006e-05,             1.4006e-05
                      3,                 9.6509,                 9.8464,                 5.7205,                      0,                      0,                      0,                      0,                 9.7327,                 7.6966,                 5.6488,             2.7445e-05,             2.7445e-05,             2.7445e-05
                      4,                 9.5655,                 9.0506,                 5.7419,                      0,                      0,                      0,                      0,                 9.7323,                 7.7008,                 5.6501,             4.0317e-05,             4.0317e-05,             4.0317e-05
                      5,                 9.8763,                  10.11,                 5.7191,                      0,                      0,                      0,                      0,                 9.7323,                 7.6962,                 5.6509,             5.2621e-05,             5.2621e-05,             5.2621e-05
                      6,                 9.9293,                 10.647,                 5.7359,                      0,                      0,                      0,                      0,                 9.7321,                 7.7009,                 5.6519,             6.4357e-05,             6.4357e-05,             6.4357e-05
                      7,                 9.2547,                  10.61,                 5.7305,                      0,                      0,                      0,                      0,                 9.7316,                 7.7009,                 5.6528,             7.5527e-05,             7.5527e-05,             7.5527e-05
                      8,                 8.9107,                 10.351,                 5.7065,                      0,                      0,                      0,                      0,                 9.7321,                 7.7009,                 5.6535,             8.6129e-05,             8.6129e-05,             8.6129e-05
                      9,                 9.6512,                 10.514,                  5.769,                      0,                      0,                      0,                      0,                 9.7316,                 7.7009,                 5.6545,             9.6163e-05,             9.6163e-05,             9.6163e-05
                     10,                 9.5103,                  10.16,                 5.7136,                      0,                      0,                      0,                      0,                 9.7316,                 7.7009,                 5.6546,             0.00010563,             0.00010563,             0.00010563
                     11,                 9.5477,                 9.2127,                 5.6724,                      0,                      0,                      0,                      0,                 9.7316,                 7.7009,                 5.6543,             0.00011453,             0.00011453,             0.00011453
                     12,                 9.8797,                 9.2999,                 5.6463,                      0,                      0,                      0,                      0,                 9.7327,                 7.6953,                  5.654,             0.00012286,             0.00012286,             0.00012286
                     13,                 9.4672,                 9.6626,                 5.6528,                      0,                      0,                      0,                      0,                 9.7322,                 7.6953,                 5.6546,             0.00013063,             0.00013063,             0.00013063
                     14,                 9.8209,                  9.295,                 5.6056,                      0,                      0,                      0,                      0,                 9.7337,                 7.6865,                  5.652,             0.00013782,             0.00013782,             0.00013782
                     15,                 8.8944,                 8.6676,                 5.6127,                      0,                      0,                      0,                      0,                 9.7332,                  7.692,                 5.6521,             0.00014445,             0.00014445,             0.00014445
                     16,                 9.6469,                  9.058,                 5.5443,                      0,                      0,                      0,                      0,                 9.7332,                 7.6921,                 5.6506,             0.00015052,             0.00015052,             0.00015052
                     17,                  8.831,                 7.9054,                 5.5355,                      0,                      0,                      0,                      0,                 9.7338,                 7.6864,                 5.6488,             0.00015601,             0.00015601,             0.00015601
                     18,                 8.9732,                 8.2125,                  5.524,                      0,                      0,                      0,                      0,                 9.7339,                 7.6836,                  5.646,             0.00016094,             0.00016094,             0.00016094
                     19,                 9.4812,                 7.9016,                 5.4234,                      0,                      0,                      0,                      0,                 9.7338,                 7.6789,                 5.6445,              0.0001653,              0.0001653,              0.0001653
                     20,                   9.11,                 7.7275,                 5.3918,                      0,                      0,                      0,                      0,                 9.7326,                 7.6703,                 5.6412,             0.00016909,             0.00016909,             0.00016909
                     21,                  9.657,                 7.5068,                 5.3175,                      0,                      0,                      0,                      0,                 9.7328,                 7.6679,                 5.6392,             0.00017232,             0.00017232,             0.00017232
                     22,                 9.5387,                 7.2167,                 5.2177,                      0,                      0,                      0,                      0,                 9.7308,                 7.6516,                 5.6365,             0.00017498,             0.00017498,             0.00017498
                     23,                 9.1191,                 7.1029,                 5.2484,                      0,                      0,                      0,                      0,                   9.73,                 7.6503,                 5.6348,             0.00017707,             0.00017707,             0.00017707
                     24,                 9.2511,                 6.0954,                 5.1121,                      0,                      0,                      0,                      0,                 9.7293,                 7.6517,                  5.633,             0.00017859,             0.00017859,             0.00017859
                     25,                 9.1493,                 7.0343,                 5.1654,                      0,                      0,                      0,                      0,                 9.7274,                  7.654,                 5.6311,             0.00017955,             0.00017955,             0.00017955
                     26,                 9.2226,                 6.5427,                 5.0331,                      0,                      0,                      0,                      0,                 9.7269,                 7.6608,                 5.6288,             0.00017994,             0.00017994,             0.00017994
                     27,                 8.7453,                 6.3523,                 5.0345,                      0,                      0,                      0,                      0,                 9.7253,                 7.6448,                 5.6272,             0.00017976,             0.00017976,             0.00017976
                     28,                 8.9109,                 6.9329,                 4.9008,                      0,                      0,                      0,                      0,                 9.7253,                 7.6463,                 5.6247,             0.00017901,             0.00017901,             0.00017901
                     29,                 8.8057,                  5.556,                 4.9596,                      0,                      0,                      0,                      0,                 9.7242,                  7.647,                 5.6242,              0.0001777,              0.0001777,              0.0001777
                     30,                 8.2224,                 6.2543,                  4.883,                      0,                      0,                      0,                      0,                 9.7261,                 7.6473,                 5.6242,             0.00017582,             0.00017582,             0.00017582
                     31,                 7.8004,                 5.2118,                  4.646,                      0,                      0,                      0,                      0,                 9.7243,                  7.647,                 5.6223,             0.00017337,             0.00017337,             0.00017337
                     32,                 7.5803,                 5.0884,                 4.5663,                      0,                      0,                      0,                      0,                 9.7244,                 7.6405,                 5.6221,             0.00017035,             0.00017035,             0.00017035
                     33,                 7.8361,                 5.2465,                 4.4404,                      0,                      0,                      0,                      0,                 9.7221,                 7.6493,                 5.6207,             0.00016677,             0.00016677,             0.00016677
                     34,                 7.6439,                   5.45,                 4.2293,                      0,                      0,                      0,                      0,                  9.724,                 7.6582,                 5.6205,             0.00016262,             0.00016262,             0.00016262
                     35,                 7.5938,                 4.8132,                 4.2149,                      0,                      0,                      0,                      0,                 9.7203,                 7.6552,                 5.6206,              0.0001579,              0.0001579,              0.0001579
                     36,                 7.7659,                 5.0497,                 4.3038,                      0,                      0,                      0,                      0,                 9.7191,                 7.6621,                 5.6193,             0.00015261,             0.00015261,             0.00015261
                     37,                 7.0559,                 4.6885,                 4.1941,                      0,                      0,                      0,                      0,                 9.7191,                 7.6554,                 5.6182,             0.00014676,             0.00014676,             0.00014676
                     38,                 7.5259,                 4.8307,                 4.2501,                      0,                      0,                      0,                      0,                   9.72,                 7.6671,                 5.6162,             0.00014034,             0.00014034,             0.00014034
                     39,                 7.0736,                 4.4887,                 4.0533,                      0,                      0,                      0,                      0,                 9.7204,                  7.668,                 5.6157,             0.00013335,             0.00013335,             0.00013335
                     40,                 6.4916,                 4.2446,                 4.0476,                      0,                      0,                      0,                      0,                 9.7198,                 7.6765,                 5.6147,              0.0001258,              0.0001258,              0.0001258
                     41,                 6.5407,                 3.9505,                  3.958,                      0,                      0,                      0,                      0,                 9.7206,                 7.6813,                 5.6164,             0.00011768,             0.00011768,             0.00011768
                     42,                 5.8941,                 3.7763,                 3.9144,                      0,                      0,                      0,                      0,                 9.7211,                 7.6966,                 5.6183,             0.00010899,             0.00010899,             0.00010899
                     43,                 5.8324,                 3.6178,                 3.8889,                      0,                      0,                      0,                      0,                 9.7201,                 7.7052,                 5.6205,             9.9729e-05,             9.9729e-05,             9.9729e-05
                     44,                 5.2584,                 3.4054,                 3.7909,                      0,                      0,                      0,                      0,                 9.7195,                 7.7262,                 5.6224,             8.9905e-05,             8.9905e-05,             8.9905e-05
                     45,                 5.4475,                 3.4148,                 3.8808,                      0,                      0,                      0,                      0,                 9.7186,                 7.7378,                 5.6238,             7.9512e-05,             7.9512e-05,             7.9512e-05
                     46,                 5.8024,                 3.6608,                 3.8102,                      0,                      0,                      0,                      0,                 9.7179,                 7.7395,                 5.6245,             6.8553e-05,             6.8553e-05,             6.8553e-05
                     47,                 5.3634,                 3.4682,                 3.7772,                      0,                      0,                      0,                      0,                  9.717,                 7.7503,                 5.6249,             5.7026e-05,             5.7026e-05,             5.7026e-05
                     48,                 5.4574,                 3.3992,                 3.6851,                      0,                      0,                      0,                      0,                 9.7178,                 7.7556,                 5.6247,             4.4932e-05,             4.4932e-05,             4.4932e-05
                     49,                 5.4374,                 3.3956,                 3.6116,                      0,                      0,                      0,                      0,                 9.7173,                 7.7613,                 5.6248,              3.227e-05,              3.227e-05,              3.227e-05
                     50,                 5.4488,                 3.0694,                 3.5971,                      0,                      0,                      0,                      0,                 9.7169,                 7.7653,                 5.6246,             1.9041e-05,             1.9041e-05,             1.9041e-05
