                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4528,                 4.5358,                 1.4999,                0.00215,                0.09198,                0.00123,                0.00063,                 1.8083,                 4.0213,                 1.0034,                      0,                      0,                      0
                      2,                 2.2725,                 4.4814,                 1.4813,                0.00231,                0.09586,                0.00133,                0.00072,                 1.8121,                 4.0215,                 1.0047,             1.4149e-05,             1.4149e-05,             1.4149e-05
                      3,                 2.6353,                 4.6118,                  1.627,                0.00237,                0.09779,                0.00137,                0.00075,                 1.8158,                 4.0205,                 1.0057,             2.8014e-05,             2.8014e-05,             2.8014e-05
                      4,                 2.5276,                 4.5641,                 1.5932,                 0.0023,                0.07215,                0.00134,                 0.0007,                 1.8142,                 4.0187,                 1.0055,             4.1597e-05,             4.1597e-05,             4.1597e-05
                      5,                 2.5942,                 4.6267,                 1.5779,                0.00228,                0.07215,                0.00132,                0.00069,                 1.8146,                 4.0185,                 1.0069,             5.4896e-05,             5.4896e-05,             5.4896e-05
                      6,                 2.6009,                  4.545,                  1.568,                0.00243,                0.07603,                0.00145,                0.00075,                 1.8173,                 4.0143,                 1.0071,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      7,                 2.4816,                 4.5345,                 1.5268,                0.00279,                0.10942,                0.00167,                0.00079,                 1.8163,                 4.0151,                 1.0077,             8.0647e-05,             8.0647e-05,             8.0647e-05
                      8,                 2.4275,                 4.5862,                 1.4831,                0.00277,                0.13506,                0.00168,                0.00079,                  1.814,                 4.0144,                 1.0082,             9.3098e-05,             9.3098e-05,             9.3098e-05
                      9,                 2.3755,                 4.4894,                 1.5064,                0.00422,                0.15012,                0.00305,                0.00148,                 1.9092,                 3.9895,                 1.0035,             0.00010527,             0.00010527,             0.00010527
                     10,                 2.1333,                 4.2805,                 1.2079,                 0.0043,                0.17531,                0.00406,                0.00154,                 2.1528,                 4.0077,                 1.0328,             0.00011715,             0.00011715,             0.00011715
                     11,                 2.1209,                 4.0441,                 1.1038,                0.00551,                0.21169,                0.00625,                0.00228,                  1.996,                 3.9777,                  1.005,             0.00012875,             0.00012875,             0.00012875
                     12,                 2.0138,                 3.7725,                 1.0603,                0.00648,                0.36737,                0.00894,                0.00337,                 1.7524,                 3.9244,                0.96712,             0.00014007,             0.00014007,             0.00014007
                     13,                 1.9241,                 3.4606,                 1.0352,                0.00659,                0.34196,                0.01479,                0.00522,                 1.6586,                 3.8804,                0.94677,             0.00015111,             0.00015111,             0.00015111
                     14,                 1.9753,                 2.9972,                   1.02,                0.00727,                0.42767,                0.02279,                0.00872,                 1.6383,                 3.8234,                0.93983,             0.00016186,             0.00016186,             0.00016186
                     15,                 1.9732,                 2.5705,                 1.0098,                0.00819,                0.38824,                0.02938,                0.00896,                 1.6923,                 3.7371,                0.95505,             0.00017233,             0.00017233,             0.00017233
                     16,                  1.935,                 2.1038,                 1.0222,                0.00803,                0.37661,                0.02506,                0.00737,                 1.7516,                 3.6413,                0.98974,             0.00018252,             0.00018252,             0.00018252
                     17,                 1.8464,                 1.8568,                 1.0052,                0.00799,                 0.3357,                0.02089,                 0.0067,                 1.7345,                  3.556,                0.99503,             0.00019242,             0.00019242,             0.00019242
                     18,                 1.7633,                 1.8253,                0.99481,                0.00791,                0.26357,                0.03066,                0.01322,                 1.8036,                 3.4951,                 1.0076,             0.00020204,             0.00020204,             0.00020204
                     19,                 1.7763,                 1.8182,                0.99119,                 0.0078,                0.25969,                0.04607,                0.02496,                 1.8752,                 3.4827,                 1.0236,             0.00021138,             0.00021138,             0.00021138
                     20,                 1.7255,                 1.6404,                0.98429,                0.00746,                0.25194,                0.05132,                0.02973,                 1.8221,                 3.4711,                 1.0053,             0.00022044,             0.00022044,             0.00022044
                     21,                 1.6461,                 1.5448,                0.96599,                0.00803,                0.30448,                0.05239,                0.03214,                 1.7881,                 3.4532,                0.99147,             0.00022921,             0.00022921,             0.00022921
                     22,                 1.6578,                  1.505,                0.96712,                0.00884,                0.28682,                0.05072,                0.02959,                 1.8092,                 3.4366,                0.99667,              0.0002377,              0.0002377,              0.0002377
                     23,                 1.5887,                 1.4421,                0.96046,                0.00979,                0.32021,                0.05054,                0.02953,                 1.7752,                 3.3958,                 0.9892,             0.00024591,             0.00024591,             0.00024591
                     24,                 1.5274,                 1.3716,                0.94991,                0.01099,                 0.4335,                 0.0517,                0.03228,                 1.6443,                  3.342,                0.96478,             0.00025383,             0.00025383,             0.00025383
                     25,                 1.5026,                 1.3793,                0.96171,                0.01142,                0.44489,                0.05163,                0.03312,                 1.5902,                 3.3119,                0.95413,             0.00026147,             0.00026147,             0.00026147
                     26,                 1.5224,                 1.3688,                0.95361,                0.01198,                0.47247,                0.04155,                0.02381,                 1.6802,                 3.3146,                0.96915,             0.00026883,             0.00026883,             0.00026883
                     27,                 1.4633,                 1.3811,                0.93871,                0.01218,                0.46278,                0.02191,                0.01113,                  1.808,                 3.3564,                0.99194,             0.00027591,             0.00027591,             0.00027591
