                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4765,                 5.7476,                 1.4961,                0.00164,                 0.0829,                0.00092,                0.00031,                 2.4869,                 4.2925,                 1.0926,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.4097,                 5.4851,                 1.4741,                  0.004,                0.20207,                0.00278,                0.00089,                  2.451,                 4.3015,                 1.0383,             0.00013908,             0.00013908,             0.00013908
                      3,                 2.7671,                  4.077,                 1.0642,                0.00815,                0.41192,                0.00963,                0.00304,                 2.6083,                 4.2836,                 1.0173,              0.0002171,              0.0002171,              0.0002171
                      4,                 2.4572,                 2.7963,                 1.0239,                0.00918,                0.46373,                0.01196,                0.00332,                 2.5764,                 4.0609,                   1.03,             0.00029406,             0.00029406,             0.00029406
                      5,                 2.4511,                  2.244,                 1.0241,                0.00933,                 0.4715,                0.01148,                0.00343,                 2.3853,                  3.961,                0.98971,             0.00036997,             0.00036997,             0.00036997
                      6,                  2.333,                 2.0435,                0.99444,                0.00851,                0.43005,                0.00922,                0.00291,                 2.4201,                 3.8634,                 1.0057,             0.00044482,             0.00044482,             0.00044482
                      7,                 2.3755,                 1.7979,                 1.0012,                0.00964,                0.48705,                0.01007,                0.00306,                 2.2346,                 3.7133,                0.99033,             0.00051862,             0.00051862,             0.00051862
                      8,                 2.2136,                 1.6869,                0.98388,                0.00733,                0.37047,                0.00625,                0.00172,                 2.4597,                 3.8869,                 1.0175,             0.00059136,             0.00059136,             0.00059136
                      9,                 2.2109,                 1.5749,                0.98383,                0.00867,                0.43782,                0.00883,                0.00333,                 2.1826,                 3.6576,                0.99737,             0.00066304,             0.00066304,             0.00066304
                     10,                 2.1372,                 1.5829,                0.95953,                0.00918,                0.46373,                0.04009,                0.01581,                 2.1819,                 3.6107,                 0.9889,             0.00073367,             0.00073367,             0.00073367
