                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.333,                 4.1929,                 1.9854,                0.00215,                0.09198,                0.00122,                0.00062,                 2.7169,                 3.7677,                 1.3625,                      0,                      0,                      0
                      2,                 3.3895,                  4.214,                 1.9575,                0.00231,                0.09586,                0.00133,                0.00073,                 2.7195,                 3.7685,                  1.364,             1.4006e-05,             1.4006e-05,             1.4006e-05
                      3,                 3.8482,                  4.281,                 2.2077,                0.00227,                0.09586,                0.00132,                0.00069,                 2.7196,                 3.7658,                 1.3628,             2.7445e-05,             2.7445e-05,             2.7445e-05
                      4,                 3.4697,                 4.2395,                 2.0455,                 0.0024,                0.07409,                 0.0014,                0.00075,                 2.7231,                 3.7641,                 1.3645,             4.0317e-05,             4.0317e-05,             4.0317e-05
                      5,                 3.5769,                 4.2513,                 2.0543,                0.00239,                0.09973,                 0.0014,                 0.0007,                 2.7199,                 3.7635,                 1.3664,             5.2621e-05,             5.2621e-05,             5.2621e-05
                      6,                 3.5045,                 4.2707,                 2.0469,                0.00252,                0.07797,                0.00151,                0.00076,                 2.7274,                 3.7625,                  1.368,             6.4357e-05,             6.4357e-05,             6.4357e-05
                      7,                 3.7356,                 4.2748,                 2.1094,                0.00269,                0.10748,                0.00161,                0.00078,                 2.7272,                 3.7613,                 1.3675,             7.5527e-05,             7.5527e-05,             7.5527e-05
                      8,                 3.4347,                 4.2881,                 1.9642,                0.00267,                0.13312,                0.00162,                0.00077,                 2.7174,                 3.7607,                 1.3667,             8.6129e-05,             8.6129e-05,             8.6129e-05
                      9,                 3.6784,                  4.279,                 2.1224,                0.00413,                0.15012,                0.00307,                0.00149,                 2.9449,                 3.7213,                 1.3767,             9.6163e-05,             9.6163e-05,             9.6163e-05
                     10,                 3.1606,                 4.0206,                 1.6319,                0.00417,                0.15206,                0.00321,                0.00152,                 2.9373,                 3.7203,                 1.3757,             0.00010563,             0.00010563,             0.00010563
                     11,                 3.0871,                 4.0074,                 1.6288,                0.00476,                0.18694,                0.00536,                0.00186,                 3.2538,                 3.7368,                 1.3974,             0.00011453,             0.00011453,             0.00011453
                     12,                 2.9029,                 3.7606,                 1.4717,                0.00578,                 0.2877,                  0.006,                0.00217,                 3.0592,                 3.7145,                 1.3696,             0.00012286,             0.00012286,             0.00012286
                     13,                 2.8525,                 3.5514,                 1.4241,                0.00622,                0.39278,                0.00945,                 0.0033,                 2.8082,                 3.6907,                 1.3443,             0.00013063,             0.00013063,             0.00013063
                     14,                  2.823,                 3.2609,                  1.426,                0.00612,                0.29717,                 0.0172,                0.00438,                 2.7758,                 3.6801,                 1.3454,             0.00013782,             0.00013782,             0.00013782
                     15,                 2.9208,                 2.9258,                 1.4081,                0.00664,                0.31268,                0.02198,                0.00534,                 2.7953,                 3.6314,                 1.3395,             0.00014445,             0.00014445,             0.00014445
                     16,                 2.8917,                 2.5015,                 1.3841,                0.00689,                0.27758,                0.02045,                0.00582,                 2.7755,                  3.571,                  1.343,             0.00015052,             0.00015052,             0.00015052
                     17,                 2.7395,                  2.149,                 1.3499,                 0.0074,                0.28727,                0.03557,                0.00886,                 2.7395,                 3.5078,                 1.3455,             0.00015601,             0.00015601,             0.00015601
                     18,                 2.6549,                 1.8451,                 1.3345,                0.00771,                 0.3006,                0.04515,                0.01214,                 2.6773,                 3.4351,                  1.351,             0.00016094,             0.00016094,             0.00016094
                     19,                 2.5685,                 1.6306,                  1.327,                0.00825,                0.31611,                0.04952,                0.01368,                 2.5974,                 3.3699,                 1.3481,              0.0001653,              0.0001653,              0.0001653
                     20,                 2.5176,                 1.6028,                 1.3362,                 0.0081,                0.34539,                0.06211,                0.01607,                 2.5589,                 3.3189,                  1.338,             0.00016909,             0.00016909,             0.00016909
                     21,                 2.4707,                 1.5153,                 1.3225,                0.00784,                0.37274,                0.05913,                0.02151,                 2.5278,                 3.2895,                 1.3312,             0.00017232,             0.00017232,             0.00017232
                     22,                 2.3782,                 1.4614,                 1.3108,                0.00736,                 0.3553,                0.06226,                0.02501,                 2.4968,                 3.2749,                 1.3247,             0.00017498,             0.00017498,             0.00017498
                     23,                 2.3251,                 1.4428,                  1.284,                0.00762,                0.35165,                0.05464,                0.02187,                 2.4792,                  3.275,                  1.321,             0.00017707,             0.00017707,             0.00017707
                     24,                 2.3479,                 1.3754,                 1.2989,                0.00805,                0.32624,                0.04529,                0.01764,                 2.4298,                 3.2711,                 1.3109,             0.00017859,             0.00017859,             0.00017859
                     25,                    2.3,                 1.3679,                 1.2814,                0.00905,                0.38266,                0.04088,                0.01667,                 2.3487,                 3.2574,                 1.2978,             0.00017955,             0.00017955,             0.00017955
                     26,                  2.196,                 1.3066,                 1.2823,                0.01009,                0.38483,                0.03801,                0.01494,                 2.3578,                 3.2325,                 1.2949,             0.00017994,             0.00017994,             0.00017994
                     27,                 2.1783,                 1.2603,                 1.2602,                0.01183,                0.51145,                0.03934,                0.01724,                 2.3346,                 3.1882,                 1.2861,             0.00017976,             0.00017976,             0.00017976
