                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3934,                 4.8387,                 1.1686,                 0.0019,                0.60957,                0.00293,                0.00161,                 1.4974,                 4.0447,                0.89187,                      0,                      0,                      0
                      2,                 2.3468,                 4.9335,                 1.1549,                0.00187,                 0.6034,                0.00279,                0.00142,                 1.5031,                 4.0419,                0.89225,              1.634e-05,              1.634e-05,              1.634e-05
                      3,                 2.2828,                 4.8129,                 1.1603,                 0.0018,                0.59105,                0.00264,                 0.0015,                 1.5071,                 4.0382,                0.89245,              3.202e-05,              3.202e-05,              3.202e-05
                      4,                 2.4553,                 4.8408,                 1.1836,                0.00161,                0.56019,                0.00298,                0.00173,                 1.5163,                  4.039,                 0.8941,             4.7039e-05,             4.7039e-05,             4.7039e-05
                      5,                 2.2976,                 4.9052,                 1.1725,                0.00165,                0.56636,                0.00269,                0.00147,                 1.5193,                 4.0378,                0.89449,             6.1399e-05,             6.1399e-05,             6.1399e-05
                      6,                 2.3222,                 4.8467,                 1.1657,                0.00162,                0.61034,                 0.0025,                0.00133,                  1.524,                 4.0422,                 0.8952,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      7,                 2.3199,                  4.792,                 1.1581,                0.00146,                0.53549,                0.00386,                0.00145,                 1.5287,                 4.0424,                0.89585,             8.8138e-05,             8.8138e-05,             8.8138e-05
                      8,                 2.3329,                 4.8407,                 1.1664,                0.00135,                0.51698,                0.00412,                0.00161,                 1.5333,                 4.0418,                0.89711,             0.00010052,             0.00010052,             0.00010052
                      9,                  2.508,                 4.8823,                 1.1816,                0.00134,                0.56713,                0.00311,                0.00151,                 1.5322,                 4.0456,                0.89848,             0.00011224,             0.00011224,             0.00011224
                     10,                 2.2724,                 4.7948,                 1.1445,                0.00277,                0.84568,                0.09079,                0.04245,                 1.7086,                  4.048,                0.89381,             0.00012329,             0.00012329,             0.00012329
                     11,                 2.0629,                 4.3884,                 1.0224,                0.00334,                0.93827,                0.24099,                0.16149,                 1.8471,                 4.0565,                0.90462,             0.00013369,             0.00013369,             0.00013369
                     12,                 2.0551,                  4.166,                0.99438,                0.00363,                0.97531,                0.24381,                0.15479,                 1.7616,                  4.011,                0.89842,             0.00014343,             0.00014343,             0.00014343
                     13,                 1.9996,                 3.9444,                0.97289,                0.00397,                      1,                0.23812,                0.15299,                 1.6531,                  3.934,                0.88145,             0.00015251,             0.00015251,             0.00015251
                     14,                 1.9916,                 3.5506,                0.93608,                0.00403,                0.98765,                0.29837,                 0.1309,                 1.6134,                 3.8686,                0.87321,             0.00016093,             0.00016093,             0.00016093
                     15,                 1.9471,                 3.1617,                0.93628,                0.00414,                0.98765,                0.29663,                 0.0712,                 1.5991,                 3.8385,                0.87604,             0.00016869,             0.00016869,             0.00016869
                     16,                 1.9186,                  2.846,                0.92539,                0.00425,                0.98765,                0.28915,                0.12833,                 1.6534,                 3.7664,                0.87689,             0.00017579,             0.00017579,             0.00017579
